Make,Type,Year,Origin,Color,Options,Engine_Size,Fuel_Type,Gear_Type,Mileage,Region,Price
Mitsubishi,Pajero,2018,Saudi,White,Full,3.5,Gas,Automatic,74715.0,Riyadh,76000.0
Toyota,Hilux,2016,Gulf Arabic,White,Standard,2.0,Gas,Manual,202332.0,Riyadh,57000.0
Toyota,Yaris,2019,Saudi,White,Standard,1.5,Gas,Automatic,33504.0,Riyadh,38000.0
Hyundai,Accent,2018,Saudi,White,Standard,1.4,Gas,Automatic,110761.0,Riyadh,32000.0
Kia,Sportage,2018,Gulf Arabic,Another Color,Semi Full,2.0,Gas,Automatic,46000.0,Hafar Al-Batin,58600.0
Kia,Sportage,2018,Gulf Arabic,Bronze,Semi Full,2.0,Gas,Automatic,46000.0,Hafar Al-Batin,58600.0
Hyundai,Elantra,2019,Saudi,White,Standard,1.6,Gas,Automatic,76095.0,Riyadh,45500.0
Hyundai,Elantra,2019,Saudi,Navy,Standard,1.6,Gas,Automatic,56536.0,Riyadh,47000.0
Mitsubishi,Pajero,2014,Saudi,White,Full,3.8,Gas,Automatic,271943.0,Riyadh,46500.0
GMC,Yukon,2012,Saudi,Bronze,Semi Full,5.3,Gas,Automatic,410000.0,Hafar Al-Batin,56600.0
Peugeot,Partner,2015,Gulf Arabic,White,Semi Full,1.6,Gas,Manual,100000.0,Dammam,25000.0
Toyota,Furniture,2018,Saudi,Silver,Full,1.0,Gas,Automatic,68000.0,Riyadh,125000.0
Hyundai,Genesis,2016,Saudi,White,Standard,3.8,Gas,Automatic,237000.0,Riyadh,77000.0
Toyota,Camry,2018,Saudi,Brown,Standard,2.5,Gas,Automatic,85000.0,Riyadh,75000.0
Hyundai,Azera,2018,Saudi,Brown,Full,3.5,Gas,Automatic,44000.0,Riyadh,96000.0
Mercedes,S,2006,Saudi,Oily,Full,5.0,Gas,Automatic,220.0,Aseer,49000.0
Honda,Odyssey,2020,Saudi,Navy,Semi Full,3.5,Gas,Automatic,1300.0,Jeddah,165000.0
Toyota,Furniture,2019,Saudi,White,Semi Full,4.0,Gas,Automatic,47000.0,Jeddah,120000.0
Toyota,Furniture,2019,Saudi,Black,Semi Full,2.7,Gas,Automatic,20000.0,Jeddah,102000.0
Mazda,6,2021,Saudi,Grey,Standard,2.5,Gas,Automatic,115.0,Jeddah,93000.0
Renault,Capture,2017,Saudi,Bronze,Semi Full,1.6,Gas,Automatic,56000.0,Jeddah,42000.0
Ford,Vego,2019,Saudi,White,Standard,1.5,Gas,Automatic,51419.0,Jeddah,27500.0
Ford,Vego,2019,Saudi,White,Standard,1.5,Gas,Automatic,47856.0,Jeddah,27500.0
Ford,Vego,2019,Saudi,Black,Standard,1.5,Gas,Automatic,26315.0,Jeddah,27499.0
Peugeot,301,2015,Saudi,Blue,Semi Full,1.6,Gas,Manual,278000.0,Jeddah,15000.0
Hyundai,Elantra,2019,Saudi,White,Standard,1.6,Gas,Automatic,61374.0,Riyadh,46500.0
Hyundai,H1,2017,Saudi,White,Standard,2.4,Gas,Automatic,209677.0,Riyadh,47500.0
Hyundai,Sonata,2015,Saudi,Grey,Semi Full,2.4,Gas,Automatic,235575.0,Riyadh,47500.0
Toyota,Corolla,2016,Saudi,White,Semi Full,1.6,Gas,Automatic,138661.0,Riyadh,47500.0
Mercedes,C,2015,Gulf Arabic,Black,Standard,2.4,Gas,Automatic,127000.0,Riyadh,102000.0
Ford,Taurus,2017,Gulf Arabic,Black,Full,3.5,Gas,Automatic,27000.0,Riyadh,83000.0
GMC,Yukon,2016,Gulf Arabic,Black,Semi Full,5.2,Gas,Automatic,104000.0,Riyadh,124000.0
Chrysler,300,2016,Gulf Arabic,Another Color,Semi Full,3.6,Gas,Automatic,85000.0,Riyadh,78000.0
Honda,Accord,2016,Gulf Arabic,White,Standard,2.4,Gas,Automatic,90000.0,Riyadh,65000.0
Ford,Expedition,2016,Gulf Arabic,Another Color,Semi Full,3.5,Gas,Automatic,63000.0,Riyadh,95000.0
Mercedes,CLA,2015,Gulf Arabic,White,Full,2.0,Gas,Automatic,123000.0,Riyadh,78000.0
Toyota,Avalon,2016,Gulf Arabic,Silver,Semi Full,3.5,Gas,Automatic,93000.0,Riyadh,75000.0
Mercedes,E,2016,Gulf Arabic,White,Full,3.0,Gas,Automatic,117000.0,Riyadh,110000.0
Chrysler,300,2016,Gulf Arabic,Black,Full,3.5,Gas,Automatic,18000.0,Riyadh,86000.0
Chevrolet,Suburban,2016,Gulf Arabic,Golden,Standard,5.2,Gas,Automatic,96000.0,Riyadh,126000.0
Toyota,Camry,2016,Gulf Arabic,White,Full,2.4,Gas,Automatic,75000.0,Riyadh,68000.0
Hyundai,Sonata,2015,Gulf Arabic,Red,Standard,2.4,Gas,Automatic,80000.0,Riyadh,45000.0
Chevrolet,Impala,2018,Gulf Arabic,Navy,Full,3.5,Gas,Automatic,113000.0,Riyadh,78000.0
Chevrolet,Tahoe,2016,Gulf Arabic,Silver,Semi Full,5.2,Gas,Automatic,93000.0,Riyadh,130000.0
Lexus,ES,2018,Gulf Arabic,Bronze,Standard,3.5,Gas,Automatic,65000.0,Riyadh,122000.0
Nissan,Altima,2018,Gulf Arabic,Silver,Semi Full,2.5,Gas,Automatic,32000.0,Riyadh,66000.0
Honda,Odyssey,2016,Gulf Arabic,White,Standard,2.4,Gas,Automatic,87000.0,Riyadh,65000.0
Hyundai,Elantra,2019,Saudi,White,Standard,1.6,Gas,Automatic,78781.0,Riyadh,47500.0
Hyundai,Elantra,2019,Saudi,Grey,Standard,1.6,Gas,Automatic,106787.0,Riyadh,48500.0
Hyundai,Elantra,2019,Saudi,Silver,Standard,1.6,Gas,Automatic,116842.0,Riyadh,48500.0
Hyundai,Elantra,2019,Saudi,White,Standard,1.6,Gas,Automatic,107133.0,Riyadh,48500.0
Chevrolet,Impala,2016,Gulf Arabic,White,Full,3.5,Gas,Automatic,152000.0,Riyadh,70000.0
Honda,Pilot,2015,Gulf Arabic,Silver,Full,3.5,Gas,Automatic,98000.0,Riyadh,75000.0
Chevrolet,Impala,2016,Gulf Arabic,White,Full,3.5,Gas,Automatic,117000.0,Riyadh,72000.0
Toyota,Previa,2017,Gulf Arabic,White,Semi Full,3.0,Gas,Automatic,101000.0,Riyadh,65000.0
Ford,Explorer,2016,Gulf Arabic,Brown,Standard,3.8,Gas,Automatic,83000.0,Riyadh,85000.0
Chevrolet,Tahoe,2020,Gulf Arabic,Red,Standard,5.3,Gas,Automatic,37000.0,Riyadh,165000.0
Hyundai,H1,2018,Saudi,Blue,Semi Full,2.4,Gas,Automatic,49000.0,Aseer,70000.0
Chevrolet,Tahoe,2016,Gulf Arabic,Black,Semi Full,5.3,Gas,Automatic,109000.0,Riyadh,130000.0
GMC,Suburban,2016,Gulf Arabic,Another Color,Standard,5.3,Gas,Automatic,98000.0,Riyadh,140000.0
Toyota,Hilux,2016,Saudi,White,Semi Full,2.7,Gas,Automatic,162500.0,Hail,84000.0
Ford,Flex,2012,Saudi,Silver,Semi Full,3.5,Gas,Automatic,282000.0,Khobar,25000.0
Nissan,X-Terra,2014,Saudi,Black,Full,4.0,Gas,Automatic,133000.0,Jeddah,80000.0
Toyota,Cressida,1996,Saudi,White,Semi Full,1.5,Gas,Manual,600.0,Yanbu,10000.0
Hyundai,Elantra,2019,Saudi,White,Standard,1.6,Gas,Automatic,91959.0,Riyadh,48500.0
Hyundai,Elantra,2019,Saudi,Silver,Standard,1.6,Gas,Automatic,103358.0,Riyadh,48500.0
Kia,Optima,2018,Saudi,Red,Standard,2.0,Gas,Automatic,101381.0,Riyadh,48500.0
Hyundai,Sonata,2017,Saudi,White,Standard,2.4,Gas,Automatic,165163.0,Riyadh,49000.0
Hyundai,Sonata,2016,Saudi,Brown,Semi Full,2.4,Gas,Automatic,235000.0,Riyadh,46000.0
Renault,Duster,2016,Saudi,Black,Standard,2.0,Gas,Automatic,55000.0,Riyadh,26000.0
Ford,Expedition,2017,Saudi,Another Color,Standard,3.5,Gas,Automatic,123000.0,Riyadh,85000.0
Mercedes,C,2019,Other,White,Semi Full,2.0,Gas,Automatic,35000.0,Dammam,145000.0
Hyundai,Tucson,2017,Saudi,Blue,Standard,1.6,Gas,Automatic,17005.0,Jeddah,70000.0
Chevrolet,Impala,2016,Gulf Arabic,Black,Standard,3.0,Diesel,Manual,88000.0,Qassim,61000.0
Kia,Sportage,2021,Saudi,Grey,Standard,1.6,Gas,Automatic,4000.0,Dammam,75000.0
Ford,Other,1982,Other,Bronze,Full,5.0,Gas,Automatic,34000.0,Dammam,180000.0
MG,RX5,2019,Gulf Arabic,Blue,Full,1.5,Gas,Automatic,42000.0,Taef,1310.0
Lexus,RX,2017,Other,White,Full,3.5,Gas,Automatic,94051.0,Riyadh,173000.0
Lexus,ES,2017,Other,Golden,Full,3.5,Gas,Automatic,34593.0,Riyadh,148000.0
Toyota,Corolla,2018,Saudi,Brown,Standard,1.6,Gas,Automatic,55398.0,Riyadh,49000.0
Nissan,Altima,2016,Saudi,White,Standard,2.5,Gas,Automatic,112915.0,Riyadh,49000.0
Hyundai,Elantra,2019,Saudi,White,Standard,1.6,Gas,Automatic,35093.0,Riyadh,50000.0
Hyundai,Elantra,2017,Saudi,Grey,Full,1.6,Gas,Automatic,132310.0,Riyadh,49500.0
Ford,Explorer,2016,Other,Black,Standard,2.5,Gas,Automatic,83000.0,Riyadh,86000.0
Mercedes,C,2018,Other,Grey,Full,2.0,Gas,Automatic,82215.0,Riyadh,138000.0
Ford,Mustang,2019,Other,White,Full,2.3,Gas,Automatic,52538.0,Riyadh,138000.0
Chevrolet,Tahoe,2016,Other,Golden,Full,5.3,Gas,Automatic,128000.0,Riyadh,164000.0
Hyundai,Elantra,2011,Saudi,White,Standard,1.0,Gas,Manual,300000.0,Najran,13000.0
Nissan,Patrol,2015,Saudi,Grey,Full,3.2,Gas,Automatic,125000.0,Riyadh,130000.0
Ford,Taurus,2011,Saudi,Red,Semi Full,3.5,Gas,Automatic,281000.0,Khobar,29500.0
Chevrolet,Suburban,2011,Saudi,Golden,Semi Full,4.0,Gas,Automatic,270.0,Makkah,37000.0
Ford,Mustang,2016,Other,Red,Full,2.3,Gas,Automatic,84000.0,Dammam,99000.0
Hyundai,Sonata,2016,Saudi,Red,Standard,2.4,Gas,Automatic,220000.0,Riyadh,43000.0
Hyundai,Accent,2018,Saudi,White,Standard,1.4,Gas,Automatic,128000.0,Dammam,28000.0
Nissan,Sentra,2016,Saudi,White,Standard,1.6,Gas,Automatic,81000.0,Riyadh,38000.0
Nissan,Altima,2017,Saudi,White,Full,2.5,Gas,Automatic,135988.0,Riyadh,49500.0
Ford,Expedition,2012,Saudi,Grey,Semi Full,5.4,Gas,Automatic,266007.0,Riyadh,49500.0
Changan,Eado,2020,Saudi,Brown,Semi Full,1.6,Gas,Automatic,24938.0,Riyadh,49500.0
Toyota,Camry,2015,Gulf Arabic,White,Full,2.5,Gas,Automatic,237171.0,Riyadh,50000.0
Nissan,Sunny,2016,Saudi,White,Standard,1.5,Gas,Automatic,211000.0,Riyadh,20000.0
Toyota,Hilux,2020,Saudi,White,Full,2.4,Diesel,Manual,29000.0,Dammam,142000.0
Toyota,Land Cruiser,2017,Gulf Arabic,White,Full,4.6,Gas,Automatic,200000.0,Dammam,180000.0
Toyota,Avalon,2016,Other,Silver,Semi Full,3.5,Gas,Automatic,110000.0,Qassim,73000.0
Lexus,LX,2013,Saudi,White,Full,5.7,Gas,Automatic,252000.0,Aseer,145000.0
Toyota,Camry,2016,Saudi,Another Color,Standard,2.5,Gas,Automatic,86000.0,Riyadh,60000.0
Kia,Seltos,2021,Saudi,White,Standard,1.6,Gas,Automatic,1700.0,Al-Medina,70000.0
BMW,The 7,2011,Saudi,White,Full,6.0,Gas,Automatic,115.0,Jeddah,65000.0
Toyota,Hilux,2019,Saudi,White,Full,2.7,Diesel,Automatic,73577.0,Riyadh,135000.0
Toyota,Rav4,2020,Saudi,White,Standard,2.0,Gas,Automatic,30000.0,Najran,93000.0
Toyota,Corolla,2018,Saudi,Silver,Standard,1.6,Gas,Automatic,90084.0,Riyadh,50000.0
Nissan,Datsun,2016,Saudi,White,Semi Full,2.7,Gas,Automatic,109766.0,Riyadh,50500.0
Hyundai,Elantra,2019,Saudi,Navy,Standard,1.6,Gas,Automatic,101364.0,Riyadh,50500.0
Ford,Expedition,2012,Saudi,White,Semi Full,5.4,Gas,Automatic,177078.0,Riyadh,51000.0
Mazda,CX9,2014,Saudi,Black,Full,3.7,Gas,Automatic,388000.0,Riyadh,37000.0
Dodge,Challenger,2018,Other,Another Color,Full,4.5,Gas,Automatic,90000.0,Dammam,113000.0
Ford,Taurus,2016,Other,Another Color,Full,3.5,Gas,Automatic,105.0,Riyadh,83000.0
Kia,Optima,2015,Saudi,Navy,Semi Full,2.4,Gas,Automatic,359000.0,Riyadh,32000.0
Porsche,Panamera,2011,Saudi,White,Full,4.8,Gas,Automatic,49000.0,Dammam,125000.0
Chevrolet,Impala,2018,Gulf Arabic,Black,Standard,3.6,Gas,Automatic,112000.0,Dammam,67000.0
Renault,Duster,2017,Saudi,Silver,Standard,2.0,Gas,Automatic,83000.0,Riyadh,26000.0
Genesis,Prestige,2016,Saudi,Black,Standard,3.8,Gas,Automatic,165000.0,Riyadh,84000.0
Hyundai,Elantra,2017,Saudi,White,Semi Full,2.0,Gas,Automatic,150000.0,Riyadh,40000.0
Toyota,Land Cruiser,2011,Saudi,White,Full,4.6,Gas,Automatic,211000.0,Dammam,115000.0
Hyundai,Elantra,2016,Saudi,White,Standard,1.6,Gas,Automatic,172600.0,Dammam,35000.0
Toyota,Camry,2016,Other,White,Standard,2.5,Gas,Automatic,148254.0,Qassim,59000.0
Toyota,Land Cruiser,2003,Other,Golden,Full,4.5,Gas,Automatic,225.0,Tabouk,35000.0
Chevrolet,Tahoe,2013,Saudi,Red,Semi Full,5.3,Gas,Automatic,211257.0,Jeddah,60000.0
Kia,Optima,2006,Other,White,Standard,1.3,Gas,Manual,290000.0,Taef,6000.0
Lexus,ES,2009,Saudi,White,Standard,3.6,Gas,Automatic,300000.0,Al-Baha,43000.0
Toyota,Camry,2017,Saudi,Grey,Standard,2.5,Gas,Automatic,380000.0,Dammam,43000.0
Lexus,ES,2018,Other,White,Full,3.5,Gas,Automatic,66000.0,Riyadh,139000.0
Mitsubishi,Pajero,2015,Saudi,White,Standard,3.5,Gas,Automatic,135063.0,Jeddah,52000.0
Kia,Optima,2016,Saudi,Grey,Semi Full,2.4,Gas,Automatic,233124.0,Riyadh,51500.0
Changan,Eado,2020,Saudi,Blue,Full,1.6,Gas,Automatic,36748.0,Riyadh,51500.0
Changan,CS75,2019,Saudi,Grey,Full,1.8,Gas,Automatic,83425.0,Riyadh,51500.0
Chevrolet,Impala,2019,Gulf Arabic,White,Standard,3.6,Gas,Automatic,144000.0,Dammam,77000.0
Mitsubishi,Outlander,2017,Saudi,White,Semi Full,2.4,Gas,Automatic,102000.0,Al-Medina,42000.0
Toyota,Furniture,2013,Saudi,White,Standard,4.0,Gas,Automatic,248500.0,Riyadh,58000.0
Toyota,Rav4,2012,Saudi,White,Standard,2.5,Gas,Automatic,234000.0,Dammam,30000.0
GMC,Sierra,2020,Saudi,White,Standard,5.3,Gas,Automatic,17000.0,Qassim,135000.0
Nissan,Datsun,2016,Saudi,White,Standard,2.4,Gas,Manual,866.0,Qassim,53000.0
Honda,Accord,2016,Gulf Arabic,White,Full,1.6,Gas,Automatic,81000.0,Al-Ahsa,63000.0
Dodge,Charger,2013,Saudi,Grey,Full,5.7,Gas,Automatic,198000.0,Al-Medina,39000.0
Toyota,Land Cruiser,1997,Saudi,White,Semi Full,4.5,Gas,Manual,540000.0,Al-Medina,38000.0
Land Rover,Range Rover,2009,Saudi,Black,Full,2.4,Gas,Automatic,2013000.0,Jeddah,35000.0
Dodge,Charger,2018,Saudi,Silver,Full,5.7,Gas,Automatic,130000.0,Dammam,2300.0
Hyundai,Sonata,2012,Saudi,White,Semi Full,2.4,Gas,Automatic,487000.0,Tabouk,19000.0
Toyota,Camry,2017,Saudi,White,Standard,2.5,Gas,Automatic,175000.0,Aseer,45000.0
Hyundai,Elantra,2019,Saudi,White,Standard,1.6,Gas,Automatic,76014.0,Jeddah,48000.0
Nissan,Sunny,2019,Saudi,White,Standard,1.5,Gas,Automatic,147008.0,Jeddah,28000.0
Hyundai,Tucson,2017,Saudi,Brown,Semi Full,2.0,Gas,Automatic,105237.0,Jeddah,58000.0
Lexus,ES,2016,Other,Grey,Full,3.5,Gas,Automatic,50000.0,Dammam,126000.0
Toyota,Corolla,2018,Saudi,White,Standard,1.6,Gas,Automatic,88288.0,Riyadh,51500.0
Hyundai,Elantra,2019,Saudi,Silver,Standard,2.0,Gas,Automatic,70568.0,Riyadh,51500.0
Mazda,CX9,2014,Saudi,Grey,Semi Full,3.7,Gas,Automatic,289903.0,Riyadh,51500.0
Kia,Sorento,2015,Saudi,Grey,Full,3.5,Gas,Automatic,116731.0,Riyadh,52000.0
Toyota,Yaris,2019,Saudi,Silver,Standard,1.5,Gas,Automatic,59000.0,Dammam,41000.0
Ford,Explorer,2016,Other,Brown,Full,3.5,Gas,Automatic,106115.0,Riyadh,122000.0
Nissan,Sunny,2014,Saudi,Red,Standard,1.5,Gas,Automatic,139740.0,Riyadh,20000.0
Toyota,Hilux,2017,Saudi,White,Full,2.7,Gas,Manual,100000.0,Riyadh,90000.0
Mazda,CX9,2020,Saudi,Brown,Full,3.5,Gas,Automatic,25182.0,Riyadh,120000.0
Mitsubishi,Other,2006,Saudi,White,Standard,2.5,Diesel,Manual,140000.0,Al-Medina,45000.0
Hyundai,Elantra,2016,Saudi,Another Color,Full,2.0,Gas,Automatic,4000.0,Riyadh,48000.0
Toyota,Land Cruiser,2013,Saudi,White,Full,4.6,Gas,Automatic,275000.0,Riyadh,125000.0
Toyota,Camry,2020,Saudi,Silver,Standard,2.5,Gas,Automatic,25000.0,Jeddah,95000.0
Ford,F150,2013,Saudi,White,Standard,5.0,Gas,Automatic,222000.0,Dammam,38000.0
Ford,F150,2018,Gulf Arabic,Brown,Full,5.0,Gas,Automatic,59790.0,Qassim,135000.0
Toyota,Camry,2017,Saudi,Silver,Full,2.5,Gas,Automatic,253641.0,Qassim,62000.0
Chrysler,C300,2015,Other,White,Semi Full,3.6,Gas,Automatic,109000.0,Al-Ahsa,70000.0
Hyundai,Sonata,2019,Saudi,Grey,Semi Full,2.4,Gas,Automatic,100000.0,Riyadh,50000.0
Chevrolet,Tahoe,2019,Saudi,Black,Semi Full,5.3,Gas,Automatic,10000.0,Riyadh,140000.0
Mitsubishi,Attrage,2020,Saudi,Silver,Standard,3.5,Gas,Automatic,15000.0,Riyadh,25000.0
Toyota,Rav4,2018,Saudi,Black,Full,1.8,Gas,Automatic,63000.0,Makkah,90000.0
Hyundai,Sonata,2016,Saudi,White,Standard,2.4,Gas,Automatic,159000.0,Riyadh,38000.0
Volkswagen,Touareg,2012,Saudi,Another Color,Semi Full,4.0,Gas,Automatic,243000.0,Riyadh,50000.0
Kia,Optima,2015,Saudi,White,Standard,2.4,Gas,Manual,104000.0,Riyadh,25000.0
Hyundai,Elantra,2019,Saudi,White,Standard,1.6,Gas,Automatic,75392.0,Riyadh,52500.0
Hyundai,Elantra,2019,Saudi,White,Standard,2.0,Gas,Automatic,18197.0,Riyadh,53000.0
Hyundai,Elantra,2019,Saudi,Silver,Standard,2.0,Gas,Automatic,22999.0,Riyadh,53000.0
Mazda,6,2015,Gulf Arabic,Blue,Standard,2.0,Gas,Automatic,82914.0,Riyadh,53000.0
Toyota,Camry,2017,Saudi,White,Semi Full,2.4,Gas,Automatic,190000.0,Riyadh,54000.0
BMW,The 5,2014,Saudi,Black,Standard,2.0,Gas,Automatic,150000.0,Khobar,57000.0
Chevrolet,Impala,2016,Saudi,Silver,Standard,3.6,Gas,Automatic,118000.0,Riyadh,48000.0
Hyundai,Accent,2018,Saudi,White,Standard,1.4,Gas,Automatic,137175.0,Riyadh,32000.0
Mazda,CX9,2020,Saudi,Navy,Full,2.5,Gas,Automatic,22000.0,Qassim,143000.0
Hyundai,Accent,2017,Saudi,White,Standard,1.4,Gas,Automatic,168000.0,Jeddah,29000.0
BMW,The 7,2016,Saudi,Bronze,Full,2.0,Gas,Automatic,134000.0,Dammam,150000.0
Nissan,Bus Urvan,2016,Saudi,White,Standard,2.5,Gas,Automatic,89000.0,Dammam,57000.0
Mercedes,E,2017,Other,White,Full,2.0,Gas,Automatic,65000.0,Dammam,163000.0
Hyundai,Elantra,2014,Saudi,Black,Full,2.0,Gas,Automatic,288051.0,Riyadh,28000.0
Nissan,Sunny,2019,Saudi,Silver,Standard,1.5,Gas,Automatic,98000.0,Al-Medina,27500.0
Hyundai,Accent,2018,Saudi,Silver,Standard,1.4,Gas,Automatic,69000.0,Riyadh,35000.0
Toyota,Hilux,2014,Saudi,White,Full,2.7,Gas,Manual,221000.0,Riyadh,70000.0
GMC,Safari,2005,Saudi,Another Color,Semi Full,5.3,Gas,Automatic,84000.0,Dammam,22000.0
Mitsubishi,Pajero,2018,Saudi,White,Full,3.8,Gas,Automatic,60000.0,Jeddah,85000.0
Land Rover,Range Rover,2016,Saudi,White,Full,3.0,Gas,Automatic,100000.0,Dammam,135000.0
Ford,F150,2020,Gulf Arabic,Grey,Full,5.0,Gas,Automatic,2061.0,Qassim,155000.0
Isuzu,D-MAX,2014,Saudi,White,Standard,2.5,Diesel,Manual,125000.0,Jubail,45000.0
Land Rover,Range Rover,2016,Other,Black,Full,4.3,Gas,Automatic,87000.0,Al-Ahsa,167000.0
Cadillac,CT5,2021,Gulf Arabic,Black,Semi Full,2.0,Gas,Automatic,100.0,Jeddah,179000.0
Hyundai,Elantra,2016,Saudi,Grey,Standard,2.0,Gas,Automatic,117000.0,Riyadh,39000.0
Hyundai,Sonata,2017,Saudi,Silver,Standard,2.4,Gas,Automatic,61184.0,Riyadh,54000.0
Toyota,Camry,2016,Saudi,Silver,Standard,2.5,Gas,Automatic,183541.0,Riyadh,53000.0
Chevrolet,Impala,2017,Saudi,Navy,Semi Full,3.6,Gas,Automatic,122102.0,Riyadh,53500.0
Toyota,Camry,2016,Saudi,Brown,Standard,2.5,Gas,Automatic,136111.0,Riyadh,53500.0
Toyota,Innova,2018,Saudi,Grey,Semi Full,2.0,Gas,Automatic,99000.0,Jeddah,64000.0
Kia,Cerato,2018,Saudi,Silver,Semi Full,1.6,Gas,Automatic,161000.0,Riyadh,33000.0
Toyota,Camry,2008,Saudi,White,Standard,2.4,Gas,Manual,388000.0,Al-Baha,17000.0
Hyundai,Elantra,2015,Saudi,Blue,Standard,1.6,Gas,Automatic,227000.0,Taef,28000.0
Kia,K5,2021,Saudi,Silver,Standard,2.0,Gas,Automatic,61804.0,Jubail,1630.0
Honda,HRV,2021,Saudi,Black,Standard,1.8,Gas,Automatic,6000.0,Riyadh,60000.0
Toyota,Hilux,2016,Saudi,White,Standard,2.7,Gas,Manual,155000.0,Riyadh,61000.0
Toyota,Hilux,2018,Saudi,White,Full,2.7,Gas,Manual,175000.0,Riyadh,63000.0
Toyota,Hilux,2018,Saudi,White,Full,2.7,Gas,Manual,111000.0,Riyadh,63000.0
Hyundai,Accent,2019,Saudi,Silver,Standard,1.4,Gas,Automatic,70900.0,Dammam,40000.0
Toyota,Land Cruiser,1994,Saudi,Red,Standard,4.6,Gas,Manual,600000.0,Dammam,25000.0
Hyundai,Accent,2018,Saudi,White,Standard,1.5,Gas,Automatic,90400.0,Dammam,32000.0
Hyundai,Senta fe,2018,Saudi,White,Semi Full,3.3,Gas,Automatic,84000.0,Dammam,75000.0
Hyundai,Accent,2019,Saudi,Brown,Standard,1.4,Gas,Automatic,56400.0,Dammam,38000.0
Toyota,Land Cruiser,2017,Saudi,White,Full,4.0,Gas,Automatic,78000.0,Dammam,182000.0
Toyota,Hilux,2016,Gulf Arabic,White,Semi Full,2.7,Gas,Manual,70000.0,Dammam,77000.0
Toyota,Hilux,2016,Saudi,White,Semi Full,2.7,Gas,Manual,210800.0,Dammam,62000.0
Toyota,Hilux,2017,Saudi,White,Semi Full,2.7,Gas,Manual,150000.0,Dammam,70000.0
Renault,Duster,2017,Saudi,Silver,Standard,2.0,Gas,Automatic,124000.0,Dammam,27000.0
Ford,Fusion,2016,Saudi,Another Color,Standard,2.5,Gas,Automatic,107590.0,Riyadh,54500.0
Toyota,Camry,2017,Saudi,White,Standard,2.5,Gas,Automatic,190144.0,Riyadh,54000.0
Hyundai,Sonata,2018,Saudi,Grey,Standard,2.4,Gas,Automatic,161796.0,Riyadh,54500.0
Hyundai,Creta,2020,Saudi,White,Standard,1.6,Gas,Automatic,65357.0,Riyadh,55000.0
GMC,Sierra,2015,Saudi,Another Color,Standard,5.3,Gas,Automatic,259000.0,Dammam,75000.0
Toyota,Corolla,2013,Saudi,White,Standard,1.6,Gas,Automatic,290000.0,Dammam,30000.0
Ford,Mustang,2016,Other,Red,Semi Full,3.7,Gas,Automatic,103000.0,Dammam,94000.0
Mazda,3,2016,Saudi,Silver,Semi Full,2.0,Gas,Automatic,104800.0,Riyadh,39000.0
Audi,Q5,2018,Saudi,Grey,Full,2.0,Gas,Automatic,60000.0,Dammam,155000.0
Renault,Fluence,2016,Saudi,Silver,Semi Full,1.8,Gas,Automatic,67000.0,Riyadh,22000.0
Changan,CS75,2020,Saudi,Red,Standard,1.6,Gas,Automatic,8000.0,Jeddah,62000.0
Honda,Accord,2018,Gulf Arabic,Grey,Full,1.5,Gas,Automatic,40804.0,Qassim,95000.0
Chevrolet,Silverado,2018,Saudi,Silver,Semi Full,5.3,Gas,Automatic,112000.0,Jubail,77000.0
Ford,Explorer,2017,Other,Black,Standard,1.4,Gas,Automatic,187000.0,Al-Ahsa,73500.0
Cadillac,CT4,2020,Gulf Arabic,White,Semi Full,3.7,Gas,Automatic,100.0,Jeddah,159000.0
Renault,Fluence,2014,Saudi,Silver,Semi Full,1.6,Gas,Automatic,135000.0,Riyadh,18000.0
Jeep,Grand Cherokee,2014,Gulf Arabic,Grey,Full,5.7,Gas,Automatic,76300.0,Riyadh,85000.0
Ford,Taurus,2015,Other,White,Full,3.1,Gas,Automatic,96000.0,Dammam,81000.0
Ford,Taurus,2015,Other,Grey,Full,3.5,Gas,Automatic,92000.0,Dammam,72000.0
Ford,Taurus,2017,Saudi,Grey,Standard,3.5,Gas,Automatic,123000.0,Dammam,69000.0
Mazda,6,2017,Gulf Arabic,White,Standard,2.5,Gas,Automatic,48004.0,Riyadh,55000.0
Kia,Sorento,2015,Saudi,Brown,Standard,3.3,Gas,Automatic,94283.0,Riyadh,55500.0
Hyundai,Elantra,2019,Saudi,White,Standard,1.6,Gas,Automatic,67610.0,Riyadh,55500.0
Hyundai,Elantra,2019,Saudi,White,Standard,1.6,Gas,Automatic,64788.0,Riyadh,55500.0
Ford,Flex,2014,Saudi,Brown,Semi Full,3.5,Gas,Automatic,180000.0,Dammam,47000.0
Ford,Taurus,2015,Other,Red,Full,3.5,Gas,Automatic,122000.0,Dammam,69000.0
Ford,Taurus,2016,Other,White,Full,3.5,Gas,Automatic,129000.0,Dammam,74000.0
Honda,Odyssey,2016,Saudi,Black,Semi Full,3.5,Gas,Automatic,71000.0,Dammam,63000.0
Ford,Taurus,2016,Other,White,Full,3.5,Gas,Automatic,72000.0,Dammam,75000.0
Ford,Taurus,2016,Other,Another Color,Full,3.5,Gas,Automatic,123000.0,Dammam,77000.0
GMC,Yukon,2016,Other,White,Full,5.3,Gas,Automatic,213000.0,Dammam,146000.0
Ford,Mustang,2016,Gulf Arabic,Silver,Full,3.7,Gas,Automatic,240000.0,Dammam,89000.0
Chevrolet,Traverse,2016,Other,White,Full,3.4,Gas,Automatic,154000.0,Dammam,79000.0
